ደርግእድገት  በህብረት   ኮታ   ዘመቻ  ወንበዴ   ፀረ  አቢዮት ኢህዲግ  እድገት እና  ለወጣቶች እየተመነደገች  ያለች ሀገር   በለ ሁለት አሀዝ   ግብር ና መር  ልማታዊ  መንግስት   ለ የተደረጀ የልማት  ሠራዊት   የተለጠጠ  እቅድ  ድርጅቱ  ኢህአዴግ  ስላመነበት  ከእቅዱ በላይ  እድገት አሳይናል  አሳሳቢ  የሆነው  የትምህርት  ጥረት   የውጭ ባለሀብቶችን  በማሣተፍ እድገት  እያመጣን ነው    ማታ ቅበረው  ቀን  ፈልገውሠጥቶ መቀጠል  ፖሊሲ   ፀረዎቹ  በብዙዎች  ተጠቅሰዋል	37,39 PUBLIC_SERVICES#EDUCATION 2 35,36
ሽልመት ምነምን ብለችሁ አተሽቀብጡ ወሽት  የበዓልን ሽልመት ምን አደርገችሁት ሁሉም አልደረሰኝም ይለል	5,7 INFRASTRUCTURE#UTILITIES 2 10,11
እባካችሁ   እየመረራችሁም እዉነትን መናገር እስቲ ልመዱ	2,4 GOVERNANCE#TRANSPARENCY 2 5,6
እንደዚህ ሆነው ከሚያድጉትና የወደፊት የኢትዮጵያን  ብድር  ከሚከፍሉት ህፃናት  ላይ የወያኔ መንግስት የገንዘብና የሀብት ስርቆት እያካሄዱ  ገንዘብ ወደ ውጭ  አገር  በቀጥታም ሆነ በተዘዋዋሪ መንገድ የሚያሸሹት	11,14 GOVERNANCE#TRANSPARENCY 2 23,24
ይሁዳ መሪ የሚስኪኖችን ደም በፎቶ አይፀዳም	1,2 PUBLIC_SAFETY#CRIME 2 0,1
በድርቁ ምክንያት የውሃ እጥረት ላጋጠማቸው ክልሎች የሚሆኑ የመጠጥ ውሃ ፕሮጀክቶች ተጓትተዋል ተባለ...	2,4 INFRASTRUCTURE#UTILITIES 2 10,11
አትዋሹ ለምን ብለው እርዳታ አልቀበልም አሉ የእናንተ ቀልድ እኮ አይጠግብም	3,4 SOCIAL#COMMUNITY_SUPPORT 2 4,5
የአማራ ህዝብን እርስ በርሱ እና ከጎረቤቶቹ ሁሉ እንደ እሳት የሚያባሉ ፋኖ የተባለ ፍራንከነስታይን በአምሳሉ ፈጥሮላቹህ ሄዷል:: መጨረሻቹህ ግን በጣም ያስፈራል::	0,2 SOCIAL#EQUALITY_JUSTICE 2 18,20
የኛ ንጉሥ ገና ዝናህ ባለም ይሆናል	1,2 GOVERNANCE#CITIZEN_ENGAGEMENT 1 3,4
አይ አሁን በቀለ ማን ሌያማህ ነው አንተ ስለ ኢትዮጵያ ስታወራ ትንሽ አይደብርህም ደደብ እንደሆንክ ነው እኔ የማውቀው	2,3 GOVERNANCE#CITIZEN_ENGAGEMENT 2 12,13
የመተከል አሰቃቂ ጭፍጨፋ ሚስጥር እየተጋለጠ መተከል የፖሊስና ሀይል አባላት ትጥቅ እንዲፈቱ ከደመወዛቸው እንዲታገዱ ከተደረጉ ተከታዩን ሚስጥር አውጥተዋል ኢኒስፔክተር ቢተው ከጉባ የሽፍታ ቡድን ሚያደራጅ ለሽፍታው ቡድን በሚሰጠው መረጃ ንጹሀን እንዲጨፈጨፉ እያደረገ ሳጅን በዱር አባስ ከቆታ ጉብላክ የሚያስተባብር ሳጅን አረጋ አማኑ ከጉብላክ ማንዱራ የሚያቀናጅ ሳጅን ሽባባው ከማንዱራ ድባጤ የሽፍታ ቡድን የሚያደራጅና መረጃ አቀባይ ሳጅን መርጋ ድልነሳ ከድባጤ ቡለን የሽፍታ ቡድን አደራጅቶ የሚመራ ከድር ኢሬና ከቡለን ወንበራ የሚመራ የጸጥታ አባላት በኮማንድ ፖስቱ ውሳኔ ትጥቅ እንዲፈቱና ከደሞዝ እንዲታገዱ ተደርገዋል የምንጠየቀው ከሽፍቶች በቀጥታ የሚገናኙት አኛንም አደራጅተው ሲሰጡን ምክትል ኮምሽነር ምስጋናው እንጅፋታ አበራ ባያታ አብዲ ቦረና በህግ አይጠየቁም ቃላቸውን ፍትህ ወዴት ጎጃምሚዲያኔትወርክ	6,9 GOVERNANCE#TRANSPARENCY 2 9,11
ትክክል ነው ሌቦችና ድብቅ አጀንዳ ያላቸው ባይደግፉህም  ቢያጥላሉህም አንተ ግን በርታ አሁንም አንደኛ ነህ ያንተ ቡድን አንደኛ ነው ስምንት ለዜሮ እየመራችሁ ነው ከዚህ በኋላ መቼም ቢሆን ሌቦችና ሀገርንና ህዝብን የሚጎዳ ድብቅ አጀንዳ ያላቸው አይሳካላቸውም	14,16 GOVERNANCE#CITIZEN_ENGAGEMENT 1 12,14
ሌብነት ስራ ነው የሌቦች ጀግና   እሱ እንዲህ አባልቶን እንደሄደ የእስራኤል አምላክ ነፈሱን በእሳት ያኑረው እውነት የኢትዮጵያ አምላክ እሳት ይንደደበት እርኩስ አውሬ	0,1 GOVERNANCE#TRANSPARENCY 2 19,21
ጠሚኒስትር ዓብይ አህመድ በኢትዮጵያ ንፅሃን ዜጎች ላይ ቁማር በመጫወት ላይ በግላጭ ተሰማርታሃል ራስህ ነውጥ ትለኩሳህ ነብዩ መስለህ ደግሞ አስታረኩ እያልክ ህብረተ ሰቡ በማታለል በህዝብ ሂወት ላይ ቁማር መጫወት ከጀመርክ ወር አስቆጥራሀል የኢትዮጵያ ህዝብ እንኳን ቁማርተኛ መንግስት ግለሰብም ለይቶ ያቃል አሁን አሁን በጭብጨባ የሚያጅብህ ህዝብ እንደሌለ ይልቅንስ ነጋ ጠባ የምትለፈልፈው የይሁዳ አስመሳይ ስብከትህና ተባርህ የማይገናኝ የሓጣአን እኩይና ከፋፋይ ስብከት መሆኑ በየቤቱ አንኳኩቷል ስለዚህ የህዝብ መብረቀ ነጎድጓድ ያቃጥላሀል አትጠራጠር  ያንተ አቅድ ለሀገራቸው ገና በጨቅላ እድሚያቸው	0,3 GOVERNANCE#TRANSPARENCY 2 7,12
ሀበሻ ግን ምቀኝነቱ ሲገርምይህንንየእውቅና ስነስርአት ፕሮግራም የጠነሰሰው እና ያስጀመረው ዲን ዳንኤል ክብረት ነው አንዳንዱ በሀይማኖቱ ይተቸዋል ሌላው በብሄሩ እሱ የሚያስበውን ለማሰብ ጭንቅላታችሁ ድፍን የሆ ምቀኞች እዛው ሰፈራችሁ መተት እየሰራችሁ ቆዩ	10,12 GOVERNANCE#CITIZEN_ENGAGEMENT 2 24,25
በራያ ግንባር ባለው ፋኖ ላይ ጥቃት መሰንዘሩ ተሰማ	3,4 PUBLIC_SAFETY#CRIME 2 5,7
ኮንሶ ብዙ ቱርስቶች እና የአገራችን ህዝቦች የሚተላለፉባትና የሚያርፉባት በመሆኑ በተለይ አሁን በወረዳዉ የፖሊስ ኃይል አለመኖርን እንደዕድል በመጠቀም በእንግዶች ላይ ያልተገባ ተግባር እንዳይፈጸም ሁሉም ኃላፊነቱን ይወጣ ባይ ነኝ	12,14 PUBLIC_SAFETY#CRIME 2 14,15
የኦርቶዶክስ ተዋህዶ ጠላት ነው ታምራት ላይኔ	4,6 SOCIAL#EQUALITY_JUSTICE 2 2,4
አባስ ዳኒ የምትባል የዝንብ ቀፎ እንዳንተ ያለ በዚች ምድር ላይ የዘቀጠ አስተሳሰብ ያለው ሰው በእርግጠኝነት ያለ አይመስለኝም	0,2 SOCIAL#COMMUNITY_SUPPORT 2 10,12	0,2 GOVERNANCE#TRANSPARENCY 2 10,12
ወንዶች ሆዳቸውን ይወዳሉ	0,1 SOCIAL#EQUALITY_JUSTICE 0 1,3
ጽንፈኛው የህወሀት ቡድን በንጹሀን የፈጸማቸው ጭፍጨፋዎች ቡድኑን በአሸባሪነት ለመፈረጅ ከበቂ መሆናቸው ተገለጸ	1,3 PUBLIC_SAFETY#CRIME 2 5,6
ጀዋርን ሚገድል ከሚ አንድ ይጥፋ	0,1 PUBLIC_SAFETY#CRIME 2 1,2
ዘመናዊ እምናደርገው ደሞ እኛው ነን ማንም መጦ ሊአስተካክልልን አይችልም ወገን ተሰብሰብ ጠላታችን ከሰው በታች ያደረገን ትልቁ  ቁስላችን ድህነት ብቻ ና ብቻ ነው	17,18 ECONOMY#TAXATION 2 16,17
ክልሉ ለሀገር የሚበጅ ሳይሆን የሚያስፈጅ   ባለስልጣን ሳይሆን ባለሰይጣን ነው ያለው	5,6 GOVERNANCE#TRANSPARENCY 2 7,8
መጀመርያ አገሪቷ ሰላም ብታደርግ አይሻልም አዲስ ፓርቲ ከመመስረት አስጠዪ እጅጅ አልክ አሁንስ	2,3 PUBLIC_SAFETY#CRIME 2 8,9
እርቁ ጥሩ ነው እውነት ከሆነ  የታሰሩት ንጹሃን ይፈቱ   ቢያንስ የመኖር መብት ይስጡን	9,11 SOCIAL#EQUALITY_JUSTICE 1 11,12
የተከበረው የሃገር ትግራይ ፕረዚዳንት ዶር ደብረፅዮን ንግግር ለኢትዮጵያውያን ልክ የቡዳ መድሃኒት ያክል ነው እሚያደናብራቹ	5,6 GOVERNANCE#CITIZEN_ENGAGEMENT 2 13,14
መቃወማችው ጥሩ   ግን በ   ድ  ብቅ  ለጁንታው ላለመስራታቸው   ማረጋግጫ   ስለሌለ   አ  ይ   ን   መንቀል አያስፈልግም   ጠርጥር	6,7 PUBLIC_SAFETY#CRIME 2 15,16
መንም ብመጠ በይመጠ ያው ጉልቻ ብቃያር ወጥ አያጠፍጥም ነው ነገሩየሃድያ ሕዝብ የምፈልገው እንዴ ሌሎች ብሄርብሄረሰቦች በእኩልነት በፍትህ መገኛት የለበትን እያገኛ መኖር ነው የምፈልገው	16,17 SOCIAL#EQUALITY_JUSTICE 2 15,16
አማራን የሚያክል የዋህ እና ደግ ህዝብ	0,1 SOCIAL#COMMUNITY_SUPPORT 1 2,5
አንዱ አንዱን እያረዳ ቪዲዮ/ፎቶ ምለጥፍበት አገር ውስጥ #ብሔር ቀን አትበሉብን。	7,9 SOCIAL#EQUALITY_JUSTICE 2 9,10
ታህሳስ 24፤ 2012/ ቋሚ ኮሚቴዎች በረቂቅ ህጎች ላይ የህዝብ አስተያየት ለመሰብሰብ ተደጋጋሚ ጥሪ ቢያደርጉም አስተያየት የሚሰጡ ሰዎች አልተገኙም	8,9 GOVERNANCE#CITIZEN_ENGAGEMENT 2 17,18
ደብረጽዮንና ግብረአበሮቹ መቼ ነው ህግ የሚጠይቃቸው	4,5 SOCIAL#EQUALITY_JUSTICE 2 2,4
